LANDING_YEAR,PACFIN_SPECIES_CODE,PACFIN_SPECIES_COMMON_NAME,FIRST_QTR_LANDED_WEIGHT_MTONS,FIRST_QTR_EXVESSEL_REVENUE,FIRST_QTR_LANDED_PPP,FIRST_QTR_NUMBER_OF_VESSELS,FIRST_QTR_NUMBER_OF_DEALERS,FIRST_QTR_CONFIDENTIAL_FLAG,SECOND_QTR_LANDED_WEIGHT_MTONS,SECOND_QTR_EXVESSEL_REVENUE,SECOND_QTR_LANDED_PPP,SECOND_QTR_NUMBER_OF_VESSELS,SECOND_QTR_NUMBER_OF_DEALERS,SECOND_QTR_CONFIDENTIAL_FLAG,THIRD_QTR_LANDED_WEIGHT_MTONS,THIRD_QTR_EXVESSEL_REVENUE,THIRD_QTR_LANDED_PPP,THIRD_QTR_NUMBER_OF_VESSELS,THIRD_QTR_NUMBER_OF_DEALERS,THIRD_QTR_CONFIDENTIAL_FLAG,FOURTH_QTR_LANDED_WEIGHT_MTONS,FOURTH_QTR_EXVESSEL_REVENUE,FOURTH_QTR_LANDED_PPP,FOURTH_QTR_NUMBER_OF_VESSELS,FOURTH_QTR_NUMBER_OF_DEALERS,FOURTH_QTR_CONFIDENTIAL_FLAG
1993,JMCK,JACK MACKEREL,597.95,78376.3,0.06,31,15, ,586.29,101108.98,0.08,47,26, ,587.21,65709.01,0.05,118,42, ,178.04,30188.56,0.08,34,21, 
1993,MSQD,MARKET SQUID,6480.18,1476585,0.1,39,21, ,123.1,56597.99,0.21,31,23, ,5868.46,2159569.41,0.17,51,27, ,30391.74,6603230.65,0.1,68,28, 
1993,NANC,NORTHERN ANCHOVY,169.49,23679,0.06,11,9, ,830.39,126152.79,0.07,22,16, ,815.12,281288.86,0.16,18,15, ,187.65,46816.2,0.11,16,11, 
1993,PSDN,PACIFIC SARDINE,8792.8,881479.72,0.05,32,14, ,3126.25,300291.03,0.04,33,21, ,315.49,41023.51,0.06,16,14, ,3111.42,321957.98,0.05,32,17, 
1993,UMCK,UNSP. MACKEREL,0,0,0,0,0, ,,,,2,2,*,,,,4,2,*,,,,1,1,*
1994,CMCK,CHUB MACKEREL,3406.91,349462.1,0.05,84,46, ,2310.75,387857.46,0.08,128,60, ,2104.99,396921.58,0.09,148,74, ,2435.43,298968.5,0.06,109,55, 
1994,JMCK,JACK MACKEREL,1356.32,140279.13,0.05,29,17, ,1018.96,164538.5,0.07,68,37, ,173.68,18691.17,0.05,48,29, ,356.83,57645.5,0.07,55,26, 
1994,MSQD,MARKET SQUID,13182.03,2008586.78,0.07,52,27, ,5146.75,1697869.97,0.15,49,24, ,11089.7,3700108.13,0.15,66,35, ,26069.91,6970602.05,0.12,78,43, 
1994,NANC,NORTHERN ANCHOVY,65.68,23658.15,0.16,7,6, ,617.18,199517.07,0.15,22,21, ,1106.64,297300.61,0.12,26,22, ,69.72,30041,0.2,12,10, 
1994,PSDN,PACIFIC SARDINE,4444.13,398437.06,0.04,35,18, ,3538.71,381934.2,0.05,34,25, ,1455.27,261969.89,0.08,25,23, ,2205.43,472941.05,0.1,35,22, 
1994,UMCK,UNSP. MACKEREL,0,0,0,0,0, ,,,,4,1,*,29.88,2645.68,0.04,5,3, ,,,,2,2,*
1995,CMCK,CHUB MACKEREL,3456.5,447262.04,0.06,77,44, ,1864.13,178787.01,0.04,102,55, ,2579.82,366478.11,0.06,121,71, ,913.87,156591.4,0.08,92,55, 
1995,JMCK,JACK MACKEREL,542.79,75472.27,0.06,25,15, ,251.89,69193.02,0.12,50,28, ,505.57,68840.48,0.06,50,26, ,576.72,78306.72,0.06,42,22, 
1995,MSQD,MARKET SQUID,15280.33,5698784.5,0.17,68,31, ,2528.85,787573.72,0.14,59,25, ,7661.69,2343071.49,0.14,58,34, ,44867.61,13527858.7,0.14,89,33, 
1995,NANC,NORTHERN ANCHOVY,34.03,10840.6,0.14,8,8, ,1066.63,139889.56,0.06,29,17, ,722.21,157510.43,0.1,17,18, ,192.92,60417.9,0.14,14,14, 
1995,PSDN,PACIFIC SARDINE,13312.69,1244614.7,0.04,34,15, ,13616.36,1103003.21,0.04,35,25, ,4074.83,359782.25,0.04,31,19, ,9177.92,844645.72,0.04,45,19, 
1995,UMCK,UNSP. MACKEREL,0,0,0,0,0, ,0,0,0,0,0, ,,,,3,2,*,,,,1,1,*
1996,CMCK,CHUB MACKEREL,3017.74,337598.99,0.05,106,62, ,770.3,127088.64,0.07,101,54, ,3581.33,500529.89,0.06,110,61, ,2291.61,330101.46,0.07,94,56, 
1996,JMCK,JACK MACKEREL,1190.98,145588.57,0.06,24,10, ,550.54,61996.35,0.05,49,18, ,471.05,54085.97,0.05,46,19, ,221.92,42920.97,0.09,29,17, 
1996,MSQD,MARKET SQUID,28396.55,7189324.72,0.11,88,33, ,3462.1,937151.86,0.12,56,20, ,3894.78,1155572.94,0.13,54,26, ,44895.54,12613770.52,0.13,108,36, 
1996,NANC,NORTHERN ANCHOVY,118.27,40724.34,0.16,9,8, ,3210.18,371813.78,0.05,32,24, ,996.06,203887.61,0.09,17,17, ,180.5,84004.23,0.21,12,12, 
1996,PSDN,PACIFIC SARDINE,9976.7,858506.91,0.04,37,14, ,6391.38,675647.24,0.05,40,22, ,4747.89,712064.99,0.07,32,17, ,11437.12,905491.15,0.04,47,22, 
1996,UMCK,UNSP. MACKEREL,0,0,0,0,0, ,,,,3,2,*,8.04,1914.75,0.11,5,3, ,1.45,798,0.25,3,3, 
1997,CMCK,CHUB MACKEREL,2971.72,420946.54,0.06,94,54, ,506.87,89803.8,0.08,115,57, ,5009.18,542802.79,0.05,121,68, ,11515.16,1705468.17,0.07,85,51, 
1997,JMCK,JACK MACKEREL,631.21,142532.5,0.1,28,17, ,127.11,21234.75,0.08,46,18, ,586.81,40662.65,0.03,63,27, ,188.33,42732.37,0.1,13,11, 
1997,MSQD,MARKET SQUID,60472.85,17251484.2,0.13,106,38, ,7699.93,2531642.48,0.15,72,31, ,1844.54,750573.65,0.18,52,23, ,433.61,166945.96,0.17,61,21, 
1997,NANC,NORTHERN ANCHOVY,126.18,21851.54,0.08,12,10, ,3948.19,339381.67,0.04,24,21, ,1614.77,432308.93,0.12,23,17, ,88.05,18038.12,0.09,7,5, 
1997,PSDN,PACIFIC SARDINE,6448.46,630051.93,0.04,35,17, ,4079.57,332607.29,0.04,29,16, ,9626.24,747990.66,0.04,60,25, ,23135.09,2730060.91,0.05,58,27, 
1997,UMCK,UNSP. MACKEREL,0.26,218.1,0.38,6,5, ,2.52,1381.8,0.25,16,10, ,154.82,18552.64,0.05,11,8, ,2.63,1587.9,0.27,17,16, 
1998,CMCK,CHUB MACKEREL,4035.09,522316.68,0.06,75,48, ,2381.03,272472,0.05,96,48, ,8146.46,1008424.09,0.06,151,74, ,6948.42,731825.13,0.05,93,53, 
1998,JMCK,JACK MACKEREL,198.03,79006.08,0.18,27,17, ,310.13,77589.29,0.11,58,28, ,931.67,122999.82,0.06,60,31, ,336.99,101270.31,0.14,32,17, 
1998,MSQD,MARKET SQUID,32.45,23991.03,0.34,30,20, ,4.68,1866.75,0.18,21,8, ,76.66,58134.94,0.34,33,19, ,2789.51,1543372.68,0.25,82,40, 
1998,NANC,NORTHERN ANCHOVY,3.84,2142.4,0.25,3,3, ,670.21,73705.55,0.05,19,17, ,756.57,136038.75,0.08,19,17, ,129.08,33245.49,0.12,9,10, 
1998,PSDN,PACIFIC SARDINE,13228.83,1181106.82,0.04,41,21, ,8947.3,789833.94,0.04,37,24, ,2222.08,165138.15,0.03,40,33, ,18776.04,1480654.81,0.04,50,32, 
1998,UMCK,UNSP. MACKEREL,0,0,0,0,0, ,,,,4,2,*,,,,4,2,*,,,,2,2,*
1999,CMCK,CHUB MACKEREL,5213.96,573168.36,0.05,68,35, ,390.46,46063.92,0.05,59,25, ,2422.69,344027.98,0.06,83,40, ,919.55,125277.21,0.06,37,16, 
1999,JMCK,JACK MACKEREL,312.07,61473.4,0.09,17,10, ,377.91,70712.53,0.08,47,18, ,675.03,25028.35,0.02,54,23, ,188.12,40619.38,0.1,17,13, 
1999,MSQD,MARKET SQUID,7749.66,3719875.23,0.22,95,34, ,22104.86,13830393.58,0.28,99,31, ,2996.59,1329674.89,0.2,63,28, ,59062.03,13967460.21,0.11,112,37, 
1999,NANC,NORTHERN ANCHOVY,1159.3,96394.78,0.04,23,14, ,729.67,204733.67,0.13,26,16, ,1994.54,270985.95,0.06,23,23, ,1393.2,287748.28,0.09,18,11, 
1999,PSDN,PACIFIC SARDINE,26909.94,2074821.23,0.03,51,21, ,4519.61,437641.96,0.04,43,27, ,14420.45,1290612.06,0.04,52,29, ,14418.99,1153375.47,0.04,53,20, 
1999,UMCK,UNSP. MACKEREL,0,0,0,0,0, ,,,,3,2,*,46.39,4282.36,0.04,11,6, ,,,,1,1,*
2000,CMCK,CHUB MACKEREL,742.43,136042.46,0.08,39,26, ,2425.33,376400.26,0.07,68,37, ,17079.71,2180932.56,0.06,102,47, ,1744.63,227956.49,0.06,55,28, 
2000,JMCK,JACK MACKEREL,240.71,56188.13,0.11,17,11, ,768.88,136621.53,0.08,77,37, ,254.03,35520.72,0.06,60,29, ,186.89,28257.02,0.07,15,11, 
2000,MSQD,MARKET SQUID,31227.37,6958056.61,0.1,103,30, ,15209.9,3877868.18,0.12,84,34, ,5482.54,1407364.82,0.12,70,28, ,66889.34,14860492.71,0.1,110,34, 
2000,NANC,NORTHERN ANCHOVY,2867.57,407986.05,0.06,26,15, ,2961.96,317785.11,0.05,24,17, ,1160.64,207728.21,0.08,18,16, ,4842.01,467899.25,0.04,24,13, 
2000,PSDN,PACIFIC SARDINE,24514.71,2642248.18,0.05,51,22, ,7551.89,718092.77,0.04,50,22, ,23587.32,2474271.16,0.05,61,26, ,12327.23,1258166.97,0.05,60,22, 
2000,UMCK,UNSP. MACKEREL,0,0,0,0,0, ,,,,2,1,*,,,,9,2,*,,,,1,1,*
2001,CMCK,CHUB MACKEREL,591.76,74576.28,0.06,38,20, ,58.74,22405.69,0.17,56,38, ,4623.51,704748.67,0.07,91,46, ,1972.42,295079.09,0.07,58,33, 
2001,JMCK,JACK MACKEREL,531.17,86855.96,0.07,22,10, ,1597.2,233986.55,0.07,49,21, ,1053.53,147669.74,0.06,53,18, ,669.97,101230.92,0.07,17,7, 
2001,MSQD,MARKET SQUID,25247.44,4011691.4,0.07,94,36, ,9520.16,1836006.67,0.09,79,27, ,10048.09,2357011.04,0.11,64,27, ,41569.43,8757124.72,0.1,81,21, 
2001,NANC,NORTHERN ANCHOVY,4330.74,292630.87,0.03,28,15, ,12518.12,807666.88,0.03,36,17, ,2155.17,300686.77,0.06,24,16, ,340.55,32516.73,0.04,17,10, 
2001,PSDN,PACIFIC SARDINE,21494.95,2363275.24,0.05,54,19, ,9203.86,1012548.35,0.05,50,24, ,31417.61,3395926.98,0.05,75,32, ,13683.79,2139081.2,0.07,60,22, 
